stack_id,primary_role,stack_name,required_skills,preferred_skills,stack_popularity_score,stack_level,typical_experience_years,industry_sector
0,Go Developer,Computer Vision Stack,TensorFlow|OpenCV|YOLO|Python,MediaPipe|PyTorch,0.77,Intermediate,10,Fintech
1,Full Stack Developer,Data Engineering Pipeline,AWS S3|Airflow,dbt|Snowflake|Kafka,0.1,Intermediate,4,SaaS
2,NLP Engineer,Rust Systems,Tokio|PostgreSQL|Actix-web,Docker|SQLx,0.77,Advanced,12,Cybersecurity
3,BI Analyst,Salesforce Platform,Lightning Web Components|Apex,Flow Builder,0.15,Advanced,2,Fintech
4,Systems Programmer,Blockchain Development,Ethereum|Hardhat|Solidity,IPFS|Chai,0.91,Intermediate,8,Telecom
5,Release Engineer,Unreal Engine Stack,C++|Blueprints,Houdini,0.78,Beginner,0,IT
6,Data Analyst,LAMP Stack,Linux|PHP|Apache|MySQL,Symfony|PHPUnit|Composer,0.96,Intermediate,5,Aerospace
7,CTO,Rust Systems,PostgreSQL|Rust|Tokio,Docker,0.69,Beginner,4,Automotive
8,Go Developer,Go Microservices,gRPC|Go|PostgreSQL|Docker,Redis|Testify,0.97,Advanced,6,Retail
9,Embedded Systems Engineer,Azure Enterprise,Azure DevOps|Cosmos DB,Application Insights|Logic Apps|Azure AD,0.21,Intermediate,7,SaaS
10,IoT Developer,Frontend React Modern,Tailwind CSS|React,Storybook|React Query|Vitest,0.73,Advanced,5,Energy
11,Engineering Manager,Go Microservices,Docker|Go|PostgreSQL,Prometheus|Redis|Kubernetes,0.77,Beginner,2,Energy
12,WordPress Developer,Rust Systems,Actix-web|PostgreSQL|Tokio|Rust,SQLx,0.24,Beginner,5,Healthcare
13,Staff Engineer,DevOps Automation,Terraform|Kubernetes|Jenkins,Prometheus|ArgoCD|Ansible,0.54,Intermediate,0,Automotive
14,Computer Vision Engineer,Flask Microservices,Flask|Redis|SQLAlchemy,Docker,0.66,Intermediate,0,Logistics
15,Data Scientist,Flask Microservices,Redis|Python,Kubernetes,0.11,Beginner,5,EdTech
16,Angular Developer,GCP Data Platform,Cloud Functions|Pub/Sub|BigQuery|GCS,Vertex AI|Dataflow|Cloud Run,0.99,Advanced,4,Energy
17,Data Analyst,Rust Systems,Actix-web|Rust,Cargo|Docker,0.7,Intermediate,3,Biotech
18,ETL Developer,Django Full Stack,HTML/CSS|PostgreSQL|Python|Django,Docker|Celery,0.66,Beginner,7,Retail
19,Blockchain Developer,iOS Native,Core Data|UIKit|Xcode,XCTest|ARKit,0.72,Beginner,6,IT
20,Performance Engineer,Shopify E-commerce,HTML/CSS|Liquid|JavaScript|Shopify CLI,Node.js|Theme Kit|GraphQL,0.39,Advanced,2,Telecom
