phrase_id,weak_phrase,recommended_replacement,severity_score,category
0,Actively participated,Contributed [specific deliverable],0.32,redundant
1,Go-getter,Goal-oriented professional,0.46,buzzword
2,Improved efficiency,Improved efficiency by 30%,0.77,quantify
3,Basic understanding of,Beginning competency in,0.36,vague
4,Etc.,[List specific items],0.32,vague
5,Team player,Cross-functional contributor,0.65,buzzword
6,Helped with,Assisted in delivering,0.44,action_verb
7,Duties included,Delivered outcomes including,0.59,format
8,Different things,A range of initiatives including,0.49,vague
9,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.83,specificity
10,Tasked with,Designated to,0.54,action_verb
11,Involved in,Played a key role in,0.97,action_verb
12,Results-oriented,Delivered measurable outcomes,0.36,buzzword
13,Did,Accomplished,0.89,action_verb
14,Successfully managed,Oversaw [add team size],0.86,redundant
15,Very experienced,Expert-level command of,0.68,quantify
16,Communicated with stakeholders,Reported KPIs to senior leadership monthly,0.36,specificity
17,Think outside the box,Inventive analyst,0.92,buzzword
18,References available upon request,[Space better used for achievements],0.43,filler
19,Was in charge of,Managed,0.76,action_verb
20,Managed a team,Supervised 15 direct reports,0.99,quantify
21,Good communication skills,Led client workshops with 50+ attendees,0.91,specificity
22,Objective: To obtain a position,[Write a targeted summary statement],0.62,filler
23,Knowledge of programming,Backend engineering with Java and Spring Boot,0.41,specificity
24,Passionate about,Specialized in,0.77,buzzword
25,I am,[Remove first person],0.73,format
26,Tasked with,Appointed to,0.81,action_verb
27,Tasked with,Designated to,0.57,action_verb
28,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.45,specificity
29,Leverage,Utilized,0.46,buzzword
30,Worked on,Built,0.58,action_verb
31,Was in charge of,Directed,0.94,action_verb
32,Was asked to lead,Headed,0.45,passive
33,Familiar with,Applied understanding of,0.92,vague
34,Duties included,Drove results including,0.4,format
35,Handled,Coordinated,0.82,action_verb
36,Was responsible for managing,Oversaw,0.82,passive
37,Etc.,[Provide concrete instances],0.58,vague
38,Hard worker,High-performing contributor,0.66,buzzword
39,Assisted with,Supported,0.9,action_verb
40,Involved in,Played a key role in,0.85,action_verb
41,Etc.,[Provide concrete instances],0.34,vague
42,Objective: To obtain a position,[Summarize top achievements],1.0,filler
43,Utilized,Deployed,0.98,passive
44,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.78,specificity
45,Made,Crafted,0.83,action_verb
46,Managed a team,Supervised 15 direct reports,0.38,quantify
47,Etc.,[Be explicit],0.62,vague
48,Very experienced,10+ years of deep experience in,0.98,quantify
49,Increased sales,Grew revenue 35% year-over-year,0.66,quantify
50,Did,Accomplished,0.89,action_verb
51,Some experience with,Practical exposure to,0.44,vague
52,References available upon request,[Omit — implied],0.68,filler
53,Managed a team,Oversaw a team of 10 specialists,0.94,quantify
54,Successfully managed,Oversaw [add team size],0.64,redundant
55,Made,Developed,0.92,action_verb
56,Knowledge of programming,Backend engineering with Java and Spring Boot,0.47,specificity
57,Detail-oriented,Thorough and methodical,0.96,buzzword
58,Assisted with,Contributed to,0.87,action_verb
59,Increased sales,Generated $1.2M in new business,0.84,quantify
60,Handled,Administered,0.96,action_verb
61,Tasked with,Commissioned to,0.67,action_verb
62,Successfully managed,Supervised [add budget],0.98,redundant
63,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.83,specificity
64,I am,[Rewrite in third person implied],0.8,format
65,Various tasks,Targeted projects including,0.61,vague
66,Utilized,Implemented,0.38,passive
67,Hard worker,Results-driven professional,0.54,buzzword
68,Was given the opportunity to,Promoted to,0.46,passive
69,Hard worker,Results-driven professional,0.35,buzzword
70,Actively participated,Contributed [specific deliverable],0.46,redundant
71,Basic understanding of,Foundational knowledge in,0.9,vague
72,Was in charge of,Administered,0.47,action_verb
73,Responsibilities included,Key contributions included,0.45,format
74,Handled,Orchestrated,0.7,action_verb
75,Detail-oriented,Accuracy-focused contributor,0.87,buzzword
76,Took care of,Maintained,0.37,action_verb
77,Etc.,[Name actual examples],0.6,vague
78,A lot of experience,8+ years of proven experience,0.77,vague
79,Duties included,Key achievements included,0.34,format
